assists_per_game,assists_per_game_allowed,blocks_per_game,blocks_per_game_against,field_goal_percentage,field_goal_percentage_allowed,free_throw_percentage,free_throw_percentage_allowed,losses,offensive_rebounds_per_game,offensive_rebounds_per_game_allowed,pf_per_game,pf_per_game_allowed,ppg,ppg_allowed,rebounds_per_game,rebounds_per_game_allowed,steals_per_game,steals_per_game_allowed,three_point_percentage,three_point_percentage_allowed,turnovers_per_game,turnovers_per_game_against,wins
-0.18,-0.38,-0.06,-0.08,0.32,-0.09,-0.01,0.06,-0.45,0.11,-0.02,0.23,0.43,0.53,-0.12,0.01,-0.13,0.00,-0.50,0.33,-0.20,-0.47,0.42,0.24
-0.58,-0.36,0.17,0.42,-0.30,-0.32,-0.41,0.66,0.73,-0.47,-0.40,0.23,-0.05,-0.92,-0.36,-0.30,-0.46,-0.54,0.28,-0.59,-0.21,0.25,-0.78,-0.48
-0.10,0.19,-0.05,-0.29,-0.34,0.13,0.23,0.63,0.27,-0.13,0.32,0.37,0.02,0.17,0.38,-0.03,0.75,0.07,-0.68,-0.29,0.06,-0.34,0.08,0.05
0.56,0.02,-0.49,-0.79,0.41,0.15,0.20,0.16,-0.27,-0.25,-0.57,0.02,-0.34,0.01,-0.08,-0.18,-0.57,0.01,0.05,-0.02,-0.28,-0.06,-0.18,0.19
0.36,0.53,-0.11,-0.67,0.36,0.21,0.18,-0.12,0.09,-0.45,0.26,-0.23,-0.34,0.08,0.21,-0.24,0.19,-0.01,0.02,0.24,0.14,-0.03,0.09,-0.14
1.00,-0.19,0.44,-0.58,0.83,-0.28,0.47,0.28,-1.18,0.11,-0.68,-0.81,-0.42,0.49,-0.49,0.12,-1.21,-0.18,0.13,0.97,0.00,-0.22,-0.23,1.00
0.39,-0.06,0.14,-0.08,0.06,-0.33,0.01,0.20,0.09,0.02,0.02,-0.02,-0.46,-0.20,0.12,0.21,-0.14,-0.10,0.35,-0.02,0.47,0.32,-0.51,0.00
0.82,0.18,0.29,-0.25,0.18,-0.60,-0.04,0.33,-0.27,0.35,0.13,-0.30,-0.22,0.22,-0.13,0.32,-0.05,0.25,0.13,-0.36,0.07,-0.37,-0.09,0.33
0.48,0.03,0.60,-0.42,0.40,-0.55,0.07,0.08,-0.55,0.46,-0.09,-0.02,-0.18,0.46,0.15,0.55,-0.25,0.01,-0.32,0.11,0.47,-0.01,-0.43,0.38
0.19,-0.10,0.49,-0.17,0.21,-0.40,-0.40,-0.04,0.00,0.06,0.36,0.05,-0.37,-0.00,-0.05,0.04,0.18,0.50,-0.07,-0.34,0.10,0.13,0.32,0.14
0.20,-0.39,0.43,-0.04,-0.06,-0.95,0.07,0.08,-0.36,0.16,-0.25,-0.19,-0.46,-0.11,-0.56,0.32,-0.20,0.01,0.03,0.18,-0.33,-0.26,-0.24,0.33
0.35,0.38,0.43,0.17,0.02,-0.02,-0.34,-0.36,0.09,0.43,0.74,0.05,-0.17,0.36,0.39,0.28,0.64,0.43,0.20,-0.04,0.47,0.21,0.44,0.19
0.53,0.07,0.35,0.46,0.15,-0.11,-0.04,-0.27,0.09,0.27,0.49,0.17,0.25,0.33,0.36,0.36,0.30,0.21,0.52,-0.11,0.16,0.50,0.35,-0.14
0.92,0.10,0.44,0.42,-0.19,-0.27,-0.15,-0.07,0.27,0.14,0.72,0.38,0.20,0.25,0.31,0.25,0.74,0.46,0.63,-0.67,-0.05,0.47,0.72,-0.29
0.02,0.55,0.29,-0.33,0.48,-0.21,0.13,-0.27,-0.09,-0.18,0.13,-0.31,-0.18,0.24,0.09,0.05,-0.21,-0.04,-0.05,0.62,-0.01,-0.13,-0.48,0.19
-0.10,-0.25,0.03,0.37,-0.17,-0.54,0.04,-0.22,-0.18,0.27,-0.19,-0.13,0.31,-0.23,-0.48,0.13,-0.50,-0.01,0.13,-0.09,-0.66,0.21,-0.04,0.00
-0.18,0.44,0.19,0.67,-0.39,-0.07,-0.02,0.11,0.55,0.98,0.28,0.53,0.18,0.25,0.52,0.72,0.14,-0.10,0.57,-0.26,-0.07,0.78,0.05,-0.29
0.49,0.04,0.11,-0.50,0.21,0.22,0.57,-0.31,-0.27,-0.05,0.32,-0.72,-1.06,0.29,0.16,-0.07,0.29,0.24,-0.20,0.69,1.00,-0.38,-0.14,0.05
0.46,0.05,0.11,-0.79,0.48,-0.11,-0.13,0.09,-0.09,-0.04,0.06,-0.63,0.17,0.19,0.07,0.04,-0.27,-0.25,-0.10,0.04,0.10,-0.18,-0.35,0.05
0.39,0.13,0.16,-0.42,0.55,-0.30,0.25,-0.16,-0.36,-0.33,0.36,-0.81,0.18,0.31,0.07,0.00,0.12,-0.13,-0.23,0.04,0.23,-0.35,-0.29,0.48
0.52,0.25,0.24,-0.62,0.67,-0.32,0.41,0.10,-0.64,-0.17,0.43,-1.11,-0.08,0.39,0.04,-0.03,-0.24,-0.37,-0.50,0.53,0.11,-0.47,-0.67,0.52
0.22,0.05,-0.14,-0.33,0.17,0.51,0.34,0.15,-0.18,-0.14,-0.23,-0.72,-0.25,0.21,0.05,-0.17,-0.13,0.22,-0.25,0.07,-0.03,-0.24,0.27,-0.14
0.36,-0.70,-0.06,-0.58,0.60,0.12,0.11,0.11,-1.00,-0.55,-0.47,-0.31,-0.58,-0.12,-0.63,-0.65,-0.71,0.35,-0.35,0.38,0.06,-0.56,0.15,0.29
0.55,0.33,0.13,-0.12,0.31,0.05,0.29,-0.03,-0.18,0.41,0.43,-0.41,-0.02,0.38,0.06,0.07,-0.18,0.09,-0.20,0.07,0.52,-0.22,0.06,0.29
-0.46,-0.11,-0.13,-0.04,-0.33,0.12,0.17,0.22,0.45,-0.39,0.58,0.14,0.15,-0.25,0.19,-0.36,0.61,-0.10,-0.47,-0.07,0.38,-0.51,-0.30,-0.57
-0.11,-0.16,0.32,0.25,-0.40,-0.02,0.19,0.17,0.45,-0.33,0.74,-0.25,-0.20,-0.35,0.03,-0.36,0.68,0.16,0.07,-0.25,0.61,-0.25,0.00,-0.33
-0.10,-0.16,0.33,0.37,-0.15,-0.11,0.03,0.03,-0.09,-0.12,0.72,-0.30,0.09,0.14,0.15,-0.04,0.77,0.12,-0.22,-0.01,-0.17,-0.35,0.11,0.05
0.17,0.02,-0.08,-0.67,0.11,0.46,0.05,-0.39,0.00,-0.08,-0.15,-0.17,-0.72,-0.05,-0.23,-0.31,-0.20,0.03,-0.70,0.55,-0.10,-0.63,-0.04,-0.05
-0.06,0.25,-0.51,0.54,-0.13,0.30,-0.23,-0.07,0.00,-0.34,0.19,-0.37,0.09,-0.09,-0.07,-0.35,0.37,0.37,0.32,0.12,-0.45,0.03,0.73,0.00
0.22,0.54,-0.16,0.21,-0.03,0.35,0.28,0.49,-0.09,0.27,-0.42,0.31,0.48,0.38,0.51,0.30,-0.25,-0.79,0.48,0.45,0.70,0.12,-0.59,0.10
-0.33,-0.33,-0.14,0.21,-0.23,-0.32,-0.12,0.14,-0.27,0.04,-0.60,0.30,0.05,-0.13,-0.17,0.23,-0.27,-0.50,0.00,0.28,-0.30,-0.22,-0.51,0.00
0.11,0.13,-0.30,0.08,0.03,0.06,0.19,0.08,-0.36,0.28,-0.96,0.09,0.12,0.09,-0.15,0.26,-0.82,-0.29,0.25,0.28,-0.11,0.22,-0.16,0.19
0.08,0.11,0.08,0.17,-0.12,-0.30,-0.04,-0.29,-0.27,0.48,-0.34,-0.14,0.17,0.05,-0.09,0.48,-0.45,-0.62,0.53,-0.01,-0.26,-0.10,-0.80,0.29
0.08,0.44,-0.10,0.38,-0.21,0.13,-0.08,-0.43,0.27,0.08,-0.17,-0.39,-0.40,-0.34,-0.10,0.03,-0.03,-0.01,0.13,-0.17,-0.15,0.10,-0.32,-0.14
-0.08,0.39,0.30,0.42,-0.29,-0.07,-0.49,-0.17,0.09,0.39,0.09,0.48,0.43,-0.17,0.04,0.22,0.25,0.35,0.52,-0.60,-0.87,0.53,0.42,0.05
0.21,0.35,-0.14,0.12,0.37,1.00,0.05,0.25,-0.09,0.05,0.00,-0.03,0.49,0.47,0.63,-0.22,-0.23,-0.06,-0.45,0.43,0.98,-0.10,0.01,0.19
0.01,0.06,-0.10,0.33,0.02,0.74,-0.18,0.17,0.00,0.13,0.36,0.36,0.45,0.21,0.55,-0.13,0.37,0.22,-0.18,-0.61,0.22,0.13,0.49,-0.10
-0.52,-0.71,0.02,-0.37,-0.06,-0.66,0.09,0.49,-0.09,-0.39,-0.87,0.27,-0.05,-0.75,-0.71,-0.13,-0.89,-0.62,-0.13,-0.04,-0.54,-0.18,-0.95,-0.10
-0.15,-0.56,-0.21,-0.37,0.27,-0.41,0.50,0.62,-0.45,-0.52,-1.09,-0.22,-0.09,-0.44,-0.62,-0.14,-1.24,-0.69,-0.10,0.16,-0.59,-0.46,-1.28,0.10
-0.43,-0.38,-0.25,0.12,-0.30,0.02,0.12,0.41,0.00,-0.22,-0.87,0.66,-0.05,-0.43,-0.33,-0.16,-0.50,-0.15,0.00,0.08,-0.18,0.07,-0.10,-0.24
-0.08,-0.30,0.14,0.00,0.10,-0.82,0.18,0.39,-0.64,-0.31,-0.25,-0.30,0.29,-0.12,-0.36,0.05,-0.31,-0.51,-0.13,0.21,-0.66,-0.41,-0.73,0.29
-0.15,-0.43,-0.03,-0.54,0.15,-0.62,0.71,0.65,-0.45,-0.58,-0.83,-0.02,0.22,-0.37,-0.49,-0.18,-0.95,-0.94,-0.25,0.33,-0.10,0.01,-0.91,0.14
0.16,0.23,-0.38,-0.62,0.10,0.17,0.24,-0.21,-0.36,-0.01,-0.11,-0.05,0.03,0.09,-0.04,-0.09,-0.16,-0.13,-0.55,0.66,0.54,-0.32,-0.09,0.19
0.25,0.23,-0.24,0.00,0.13,0.18,0.32,0.07,0.27,-0.29,0.17,-0.47,-0.58,-0.24,0.01,-0.22,-0.22,-0.22,0.20,0.00,0.71,-0.07,-0.38,-0.05
0.16,0.23,0.11,-0.12,0.25,0.18,0.02,1.00,0.18,0.06,0.06,0.39,0.52,0.31,0.62,0.20,-0.07,0.07,0.90,-0.37,0.23,1.00,0.28,-0.19
-0.11,0.18,0.17,-0.04,0.03,0.18,-0.21,0.73,0.18,-0.34,0.09,-0.73,-0.32,-0.18,0.33,-0.07,0.13,-0.75,0.20,0.03,0.30,0.09,-0.71,-0.19
0.38,0.33,-0.14,0.38,0.03,0.54,-0.40,-0.30,0.27,0.07,0.32,-0.08,-0.65,0.15,0.25,0.01,0.53,0.66,0.22,-0.12,0.06,-0.35,0.32,-0.19
0.52,-0.09,-0.13,0.42,0.47,0.60,-0.38,-0.54,0.00,0.39,-0.19,0.36,0.12,0.52,0.36,0.31,-0.03,0.22,0.38,0.04,-0.37,0.25,0.39,0.05
0.02,0.14,-0.06,-0.04,-0.02,0.13,0.80,0.34,-0.55,-0.30,0.43,-0.36,-0.02,0.24,0.21,-0.08,0.40,0.22,-0.18,0.58,-0.02,0.29,0.41,0.10
0.08,-0.19,0.08,-0.46,-0.02,-0.17,-0.76,-0.11,0.45,-0.02,-0.06,-0.94,-0.74,-0.29,-0.33,-0.14,0.03,-0.13,-0.72,-0.03,0.05,-0.56,-0.27,-0.14
-0.34,-0.10,0.05,0.17,-0.07,-0.35,-0.32,-0.41,-0.64,0.77,0.04,0.31,0.22,0.35,-0.06,0.47,-0.03,0.31,-0.23,-0.11,0.29,-0.04,0.46,0.24
-0.03,-0.09,0.10,0.08,0.02,-0.37,-0.03,-0.57,-0.36,0.81,0.34,0.02,0.09,0.45,-0.13,0.45,0.08,0.35,-0.60,-0.01,-0.22,-0.35,0.52,0.29
0.10,-0.39,0.00,-0.58,0.06,-0.57,0.41,-0.01,-0.45,0.11,-0.09,0.05,0.25,0.00,-0.27,0.17,-0.41,-0.34,-0.20,-0.24,-0.37,-0.07,-0.33,0.33
-0.11,-0.01,-0.35,0.29,-0.37,-0.05,0.16,-0.22,0.09,-0.19,-0.13,-0.25,-0.51,-0.52,-0.25,-0.09,-0.02,-0.13,-0.07,-0.43,-0.15,-0.04,-0.13,-0.19
-0.11,-0.06,0.03,0.37,-0.06,-0.21,0.04,-0.37,-0.36,0.19,0.09,-0.28,0.08,-0.04,-0.16,0.17,-0.06,-0.04,0.05,-0.44,-0.26,0.04,0.15,0.14
0.02,-0.45,0.22,0.29,0.03,-0.79,0.19,-0.41,-0.64,0.02,0.26,-0.23,-0.31,0.12,-0.36,0.28,0.20,-0.13,-0.47,-0.24,-1.02,-0.46,-0.14,0.48
0.16,-0.15,0.13,0.21,0.00,-0.48,-0.12,-0.25,-0.55,0.33,0.21,0.48,0.29,0.09,-0.26,0.24,-0.08,0.22,0.03,-0.21,-0.34,0.26,0.49,0.19
0.17,0.07,0.00,0.37,-0.01,-0.21,0.74,-0.43,-0.55,0.05,0.25,-0.22,0.00,0.09,-0.15,0.23,-0.12,-0.03,0.32,-0.11,-0.51,0.06,-0.16,0.24
-0.08,-0.39,-0.02,0.37,-0.06,-0.79,0.71,-0.39,-0.73,0.22,0.08,-0.38,-0.18,-0.01,-0.59,0.26,-0.39,-0.01,-0.37,0.00,-1.24,-0.34,-0.13,0.48
-0.26,0.26,-0.32,0.13,-0.13,0.16,0.22,0.42,-0.18,-0.01,-0.83,-0.34,0.03,-0.03,-0.05,0.07,-0.60,-0.03,-0.18,0.35,0.67,-0.19,-0.25,0.10
0.63,-0.18,0.54,-0.79,1.00,-0.48,0.49,-0.15,-1.55,-0.22,-0.06,-0.86,-0.02,0.67,-0.44,-0.09,-0.79,-0.18,-0.27,0.89,-0.86,-0.60,-0.27,0.95
0.13,0.14,0.59,-0.08,0.33,-0.43,-0.17,-0.29,-0.27,0.05,0.75,0.02,0.75,0.72,0.32,0.32,0.59,0.16,0.18,0.47,-0.21,0.09,0.25,0.14
0.39,-0.18,0.43,-0.17,0.79,0.07,0.31,0.16,-0.82,0.11,0.19,0.50,0.86,0.91,0.36,0.32,-0.18,-0.15,0.50,0.71,-0.80,0.63,0.24,0.52
0.27,0.11,0.14,-0.04,0.61,0.09,0.31,0.03,-0.73,0.31,0.26,-0.34,0.49,0.77,0.12,0.23,-0.16,0.00,-0.67,0.34,-0.24,-0.46,0.05,0.48
0.08,0.20,0.13,0.29,0.04,0.24,0.30,-0.11,0.27,0.06,0.55,0.58,0.43,0.33,0.40,-0.05,0.31,0.65,0.63,-0.09,0.24,0.72,0.85,-0.05
0.00,0.00,0.17,0.00,-0.05,-0.46,-0.03,-0.50,0.09,-0.20,0.42,0.31,0.46,0.04,-0.12,0.02,0.30,0.09,0.47,0.02,-0.24,0.43,0.28,-0.19
0.03,-0.21,0.02,-0.42,0.01,-0.28,0.13,0.34,-0.18,0.07,-0.08,-0.19,-0.40,-0.07,-0.21,0.07,-0.13,-0.25,-0.52,0.16,-0.33,-0.54,-0.49,0.24
0.11,-0.02,-0.30,-0.58,0.17,0.04,0.29,0.01,-0.36,0.00,0.25,0.06,0.12,0.34,-0.01,-0.04,-0.03,0.10,-0.20,0.20,-0.54,-0.09,0.08,0.38
0.09,0.18,0.16,-0.17,0.29,0.29,0.12,-0.08,0.00,-0.18,0.23,0.28,-0.52,0.18,0.18,-0.19,0.16,0.38,-0.10,0.45,0.31,0.16,0.30,0.00
0.16,0.11,0.10,-0.46,0.44,-0.41,-0.16,0.07,0.18,-0.63,0.06,-0.80,-0.22,-0.14,-0.18,-0.19,-0.15,-0.44,0.05,0.42,-0.02,0.12,-0.53,0.10
-0.15,0.14,-0.22,-0.17,0.13,0.39,0.24,0.19,-0.09,-0.05,-0.47,-0.05,0.55,-0.17,-0.08,-0.08,-0.79,-0.07,0.70,0.04,0.28,0.47,-0.08,-0.19
0.11,0.26,-0.02,-0.29,0.08,0.40,0.13,0.10,-0.18,-0.07,-0.32,-0.25,0.29,-0.00,-0.02,-0.20,-0.50,0.00,-0.02,0.41,0.95,0.09,0.06,-0.10
-0.16,-0.33,0.40,0.54,-0.45,-0.66,-0.68,-0.16,0.00,0.59,0.26,0.00,0.11,-0.13,-0.31,0.46,0.40,0.25,-0.05,-0.53,-0.54,-0.04,0.22,-0.05
0.03,-0.11,0.14,-0.62,0.23,-0.13,-0.13,0.06,-0.09,0.04,-0.09,-0.16,-0.09,0.12,-0.08,-0.07,-0.29,-0.06,-0.30,-0.07,0.28,-0.12,-0.03,0.14
0.45,0.04,0.52,-0.08,0.23,-0.50,-0.76,-0.51,0.09,0.42,0.66,-0.20,0.11,0.28,0.10,0.39,0.21,0.13,0.38,-0.02,0.18,0.43,0.23,0.14
0.37,-0.07,0.43,-0.04,0.13,-0.60,-0.18,-0.40,-0.09,0.19,0.25,-0.09,0.18,0.23,-0.10,0.28,0.09,0.06,0.20,-0.37,-0.21,0.06,0.20,0.10
0.60,-0.14,0.49,-0.04,0.32,-0.76,-0.08,-0.46,-0.27,-0.01,0.66,0.11,-0.02,0.31,-0.09,0.17,0.47,0.41,0.05,-0.15,-0.75,0.21,0.54,0.24
0.40,-0.09,0.24,0.42,0.20,-0.28,0.00,-0.02,-0.27,0.05,0.49,0.39,0.40,0.43,0.10,0.08,0.43,0.82,0.07,0.20,-0.57,0.16,0.91,0.14
-0.02,-0.09,0.14,0.17,0.33,-0.22,-0.02,-0.34,-0.09,0.20,0.11,-0.34,-0.25,0.01,-0.05,0.20,-0.24,0.01,0.85,-0.06,-0.09,0.63,0.10,0.00
-0.44,0.11,-0.29,-0.04,-0.23,0.32,0.40,0.00,0.27,-0.23,0.23,0.19,0.31,-0.13,0.21,-0.19,0.36,-0.07,-0.02,-0.07,-0.32,0.04,0.04,-0.24
-0.35,-0.29,-0.21,0.25,-0.23,-0.13,0.59,0.02,-0.36,-0.06,-0.53,0.20,-0.45,-0.24,-0.46,-0.16,-0.25,0.03,-0.75,-0.10,-0.03,-0.65,0.04,0.24
-0.11,-0.06,-0.41,0.00,-0.03,0.56,0.57,0.33,-0.36,0.14,-0.62,0.20,-0.14,-0.13,-0.13,-0.17,-0.64,0.03,-0.18,0.05,-0.11,-0.09,-0.08,0.19
-0.16,-0.15,-0.22,-0.46,0.04,0.05,0.65,0.11,-0.73,0.31,-0.36,-0.36,-0.49,-0.19,-0.32,0.01,-0.79,-0.21,-0.07,0.18,-0.05,-0.12,-0.48,0.48
0.12,-0.33,-0.24,0.00,0.35,-0.04,0.27,0.38,-0.91,0.42,-0.94,0.00,0.31,0.12,-0.41,0.14,-1.16,-0.07,-0.40,0.02,-0.01,-0.07,-0.08,0.67
0.12,0.05,-0.21,0.00,0.41,0.27,0.50,0.43,-0.55,0.19,-0.17,-0.14,-0.12,0.05,-0.10,-0.09,-0.76,0.09,-0.03,-0.39,-0.11,-0.04,-0.06,0.43
0.16,-0.41,-0.10,0.42,0.17,-0.01,-0.65,-0.06,0.18,-0.10,-0.25,0.47,0.35,0.07,-0.15,-0.07,-0.04,0.29,-0.45,-0.34,-0.22,-0.04,0.56,-0.10
-0.01,0.06,-0.05,-0.25,0.17,0.40,0.63,0.16,0.00,-0.05,-0.13,-0.69,-0.11,0.11,0.18,-0.09,-0.36,-0.35,-0.33,-0.08,0.00,-0.28,-0.51,0.19
-0.02,0.01,0.13,-0.25,0.27,0.10,-0.24,0.59,0.45,-0.66,-0.11,-0.14,-0.11,-0.23,0.13,-0.42,-0.03,-0.24,-0.02,0.07,0.07,0.19,-0.28,-0.19
-0.17,-0.27,0.13,-0.04,-0.01,-0.09,-0.43,0.12,0.27,-0.29,-0.11,0.11,0.14,-0.13,-0.10,-0.27,0.08,-0.01,-0.35,0.11,0.21,-0.13,0.25,-0.19
-0.33,-0.42,0.13,-0.67,0.07,-0.13,-0.42,-0.01,0.00,-0.29,-0.08,0.23,0.12,-0.15,-0.03,-0.23,-0.01,-0.25,-0.30,0.00,0.34,0.07,0.09,-0.10
-0.03,-0.61,0.11,-0.04,-0.37,-0.23,-0.36,-0.28,0.36,-0.22,-0.38,0.17,-0.52,-0.43,-0.56,-0.22,0.12,-0.03,-0.55,0.30,-0.36,-0.37,0.08,-0.10
0.08,-0.21,-0.62,0.04,-0.04,0.41,0.24,-0.26,-0.09,-0.23,-0.09,-0.14,0.12,-0.03,-0.00,-0.25,-0.06,-0.32,-0.45,0.41,-0.46,-0.49,-0.23,0.05
-0.13,0.28,-0.33,0.33,-0.27,0.74,-0.17,0.48,0.55,-0.04,-0.15,-0.19,0.09,-0.15,0.03,-0.32,-0.07,-0.09,-0.60,-0.12,0.02,-0.60,-0.10,-0.14
0.29,0.28,-0.30,0.42,0.12,0.48,0.12,0.18,0.00,-0.23,0.09,-0.14,-0.09,0.00,0.03,-0.30,-0.07,-0.01,-0.02,-0.05,-0.47,-0.16,0.16,0.00
0.01,-0.04,-0.02,0.08,-0.08,-0.05,-0.10,-0.17,-0.18,0.55,-0.25,-0.11,-0.20,0.13,-0.18,0.27,-0.24,0.34,-0.08,-0.03,-0.51,-0.25,0.05,0.14
-0.35,0.16,-0.41,0.37,-0.29,0.33,-0.13,0.27,0.27,0.23,-0.26,-0.52,-0.20,-0.20,-0.04,0.06,-0.09,-0.31,-0.30,-0.06,-0.01,-0.46,-0.57,-0.05
0.08,0.72,0.03,0.87,-0.28,-0.07,-0.07,-0.19,0.27,0.86,0.15,-0.19,-0.11,0.22,0.11,0.61,0.22,0.31,0.00,-0.09,-0.08,-0.09,0.11,0.05
0.22,-0.06,-0.17,-0.29,0.16,-0.20,0.39,0.49,0.00,-0.48,-0.36,-0.50,0.42,-0.08,-0.26,-0.26,-0.51,-0.78,-0.63,0.16,-0.40,-0.91,-0.78,0.10
-0.15,0.45,-0.14,0.17,-0.40,0.04,-0.16,-0.21,0.45,0.01,0.02,-0.55,-0.37,-0.26,-0.11,-0.15,0.25,0.31,-0.25,-0.15,0.34,-0.59,-0.15,-0.24
-0.15,-0.13,0.06,-0.21,-0.20,-0.73,-0.10,-0.45,-0.18,0.23,0.08,-0.16,-0.40,-0.07,-0.30,0.15,0.13,0.26,-0.77,-0.07,0.63,-0.66,-0.16,0.10
-0.12,-0.05,0.29,0.21,-0.36,-0.29,-0.18,-0.04,0.27,0.30,0.09,0.13,0.00,-0.17,-0.11,0.13,0.13,0.13,0.30,-0.34,0.02,0.21,0.09,-0.24
-0.02,0.06,-0.13,0.08,-0.40,-0.05,-0.32,-0.35,0.64,-0.02,0.25,0.63,0.14,-0.09,0.22,0.03,0.42,-0.04,0.80,-0.11,-0.09,0.50,0.06,-0.29
0.12,-0.44,0.05,0.21,0.16,-0.51,0.06,0.52,-0.64,0.04,-0.87,-0.36,-0.48,-0.08,-0.56,0.10,-0.82,-0.24,-0.43,0.16,0.23,-0.49,-0.54,0.43
0.01,0.18,-0.19,-0.08,0.06,0.88,-0.06,0.36,-0.18,0.06,-0.26,0.44,0.11,0.28,0.34,-0.24,0.10,0.56,-0.27,-0.02,0.39,-0.09,0.73,0.00
0.40,0.35,0.08,-0.38,0.39,-0.04,0.55,0.49,-0.82,-0.34,-0.26,-0.94,-0.09,0.35,-0.04,-0.11,-0.17,-0.01,-0.80,0.61,0.00,-0.60,-0.16,0.43
-0.26,-0.26,0.11,0.46,-0.51,-0.28,-0.40,-0.32,0.00,0.61,0.19,-0.19,0.09,-0.06,-0.08,0.36,0.45,-0.09,-0.40,-0.74,-0.37,-0.21,0.18,0.00
0.38,0.19,0.70,-0.29,0.52,-0.04,0.45,-0.16,-0.82,0.23,0.15,-0.20,0.58,0.63,0.17,0.20,-0.07,-0.01,0.08,-0.09,0.53,0.01,0.22,0.48
0.09,0.23,0.21,0.42,-0.03,-0.09,0.61,0.27,0.36,0.23,0.45,-0.02,-0.12,0.15,0.17,0.13,0.06,-0.06,0.13,0.20,-0.36,0.13,-0.19,-0.19
-0.16,-0.04,0.02,-0.08,0.17,0.20,0.56,0.18,-0.45,-0.41,0.34,-0.78,0.29,0.33,0.05,-0.31,0.15,0.10,-0.38,0.33,0.11,-0.47,-0.04,0.19
0.49,0.03,0.44,0.25,0.72,-0.05,0.34,0.08,-1.00,0.10,0.64,-0.13,0.51,0.90,0.26,0.12,0.09,0.37,-0.40,0.39,0.36,-0.22,0.44,0.57
0.29,0.20,0.16,0.08,0.07,0.41,0.30,-0.44,0.00,0.42,0.38,0.58,0.40,0.57,0.55,0.31,0.34,0.34,0.30,-0.11,0.13,0.57,0.51,0.05
-0.08,-0.07,-0.29,-0.04,-0.01,0.04,-0.20,-0.30,0.27,0.11,-0.60,0.61,0.20,-0.15,-0.10,0.07,-0.33,0.01,-0.02,-0.16,-0.33,0.32,0.19,-0.14
0.10,0.08,0.02,0.17,0.37,0.20,0.12,-0.45,-0.18,0.25,0.09,0.14,0.17,0.29,0.14,0.16,-0.23,0.09,0.23,0.07,0.23,0.29,0.16,0.14
-0.04,-0.13,-0.17,0.12,-0.09,0.15,0.05,-0.51,-0.55,0.24,-0.42,0.64,0.48,0.30,-0.05,0.07,-0.04,0.60,-0.33,0.16,0.23,0.21,1.00,0.29
-0.25,0.15,0.05,0.25,0.00,0.37,0.05,0.30,0.09,0.27,-0.11,0.50,0.32,0.24,0.28,0.07,0.00,0.35,0.20,-0.19,0.38,0.26,0.37,0.00
